objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
2685663,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34379,-72.88903,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685670,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34621,-72.88925,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685674,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3437,-72.88974,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685677,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34684,-72.88975,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Open Field           ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685683,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34741,-72.89011,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685689,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3418,-72.89087,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685696,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Undetected,Negative,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.33888,-72.89207,WGS84     ,,,,,,,,,,,,,,,,,,,,Not Found,,,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,12/18/2017,Julie Richburg,Bulk Verified,Verified,Credible,WISP project with professional botanists surveying for invasives.
2685700,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.33846,-72.89326,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685702,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.33846,-72.89372,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685709,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Undetected,Negative,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34505,-72.89818,WGS84     ,,,,,,,,,,,,,,,,,,,,Not Found,,,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,12/18/2017,Julie Richburg,Bulk Verified,Verified,Credible,WISP project with professional botanists surveying for invasives.
2685711,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3458,-72.89901,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685741,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.35828,-72.90646,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685755,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.36674,-72.90935,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Open Field           ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685759,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.36947,-72.90955,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685769,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39333,-72.91783,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685771,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39457,-72.91826,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685773,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3957,-72.91852,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685776,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39653,-72.91875,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685777,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39745,-72.91902,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685784,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3994,-72.92063,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685825,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39503,-72.93526,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685827,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40938,-72.93556,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685836,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40998,-72.93663,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685838,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.39854,-72.93672,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685839,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40977,-72.93717,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685844,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40756,-72.93758,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685854,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40574,-72.93799,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Open Field           ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685855,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40574,-72.93799,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685857,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/20/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.40471,-72.93807,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685873,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/23/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.4202,-72.92512,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685879,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/23/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.42183,-72.92747,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685899,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/26/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.42716,-72.92259,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Stream Bank                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685903,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/26/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.43023,-72.92526,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685938,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/27/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.33922,-72.92834,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685942,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/27/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.32584,-72.93201,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685957,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/27/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.33405,-72.93523,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685959,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/27/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.33736,-72.93535,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Stream Bank                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686007,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.31191,-72.99282,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Mixed                                    ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686013,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3152,-72.99782,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Mixed                                    ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686017,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.31526,-72.99866,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Mixed                                    ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686024,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.30822,-73.00436,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Conifer                               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686028,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.30707,-73.00608,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Conifer                               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686029,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/29/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3055,-73.0061,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Forests: Conifer                               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686047,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/2/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.28793,-72.90879,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686049,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/2/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.30589,-72.90904,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686060,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/2/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.28575,-72.91416,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686068,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/2/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.30333,-72.91697,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686100,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/2/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.29437,-72.92744,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Edge: Field/forest                                ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686119,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/3/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.26343,-72.90032,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686130,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/3/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.2708,-72.90484,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686134,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/3/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.27131,-72.90501,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2686146,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,8/3/2010,3/4/2013,,"Hampden, Massachusetts, United States",42.27909,-72.90819,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
